yourlist:M201912038471C63D39733769F8E060B506551E125F0C55R	isomap:M201912038471C63D39733769F8E060B506551E125F0C55R	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
ENSG00000177000	ENSG00000177000 -> P42898-1;P42898-2	P42898	MTHR_HUMAN	reviewed	Methylenetetrahydrofolate reductase (EC 1.5.1.20)	MTHFR	Homo sapiens (Human)	656
ENSG00000011021	ENSG00000011021 -> P51797-1;P51797-5;P51797-6	P51797	CLCN6_HUMAN	reviewed	Chloride transport protein 6 (Chloride channel protein 6) (ClC-6)	CLCN6 KIAA0046	Homo sapiens (Human)	869
ENSG00000116685	ENSG00000116685 -> Q8IYS2-1;Q8IYS2-2	Q8IYS2	K2013_HUMAN	reviewed	Uncharacterized protein KIAA2013	KIAA2013	Homo sapiens (Human)	634
ENSG00000083444	ENSG00000083444 -> Q02809-1	Q02809	PLOD1_HUMAN	reviewed	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 (EC 1.14.11.4) (Lysyl hydroxylase 1) (LH1)	PLOD1 LLH PLOD	Homo sapiens (Human)	727
ENSG00000116688	ENSG00000116688 -> O95140-1	O95140	MFN2_HUMAN	reviewed	Mitofusin-2 (EC 3.6.5.-) (Transmembrane GTPase MFN2)	MFN2 CPRP1 KIAA0214	Homo sapiens (Human)	757
ENSG00000116691	ENSG00000116691 -> Q5JXC2-1	Q5JXC2	MIIP_HUMAN	reviewed	Migration and invasion-inhibitory protein (IGFBP2-binding protein) (Invasion-inhibitory protein 45) (IIp45)	MIIP IIP45	Homo sapiens (Human)	388
ENSG00000028137	ENSG00000028137 -> P20333-1	P20333	TNR1B_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 1B (Tumor necrosis factor receptor 2) (TNF-R2) (Tumor necrosis factor receptor type II) (TNF-RII) (TNFR-II) (p75) (p80 TNF-alpha receptor) (CD antigen CD120b) (Etanercept) [Cleaved into: Tumor necrosis factor receptor superfamily member 1b, membrane form; Tumor necrosis factor-binding protein 2 (TBP-2) (TBPII)]	TNFRSF1B TNFBR TNFR2	Homo sapiens (Human)	461
ENSG00000048707	ENSG00000048707 -> Q5THJ4-1;Q5THJ4-2	Q5THJ4	VP13D_HUMAN	reviewed	Vacuolar protein sorting-associated protein 13D	VPS13D KIAA0453	Homo sapiens (Human)	4388
ENSG00000162496	ENSG00000162496 -> O75911-1	O75911	DHRS3_HUMAN	reviewed	Short-chain dehydrogenase/reductase 3 (EC 1.1.1.300) (DD83.1) (Retinal short-chain dehydrogenase/reductase 1) (retSDR1) (Retinol dehydrogenase 17) (Short chain dehydrogenase/reductase family 16C member 1)	DHRS3 RDH17 SDR16C1 UNQ2424/PRO4983	Homo sapiens (Human)	302
ENSG00000116731	ENSG00000116731 -> Q13029-1;Q13029-2;Q13029-4;Q13029-5	Q13029	PRDM2_HUMAN	reviewed	PR domain zinc finger protein 2 (EC 2.1.1.43) (GATA-3-binding protein G3B) (Lysine N-methyltransferase 8) (MTB-ZF) (MTE-binding protein) (PR domain-containing protein 2) (Retinoblastoma protein-interacting zinc finger protein) (Zinc finger protein RIZ)	PRDM2 KMT8 RIZ	Homo sapiens (Human)	1718
ENSG00000189337	ENSG00000189337 -> Q674X7-1;Q674X7-2;Q674X7-3;Q674X7-4	Q674X7	KAZRN_HUMAN	reviewed	Kazrin	KAZN KAZ KIAA1026 HRIHFB2003	Homo sapiens (Human)	775
ENSG00000171729		Q9NW97	TMM51_HUMAN	reviewed	Transmembrane protein 51	TMEM51 C1orf72	Homo sapiens (Human)	253
ENSG00000142634		Q96C19	EFHD2_HUMAN	reviewed	EF-hand domain-containing protein D2 (Swiprosin-1)	EFHD2 SWS1	Homo sapiens (Human)	240
ENSG00000132906	ENSG00000132906 -> P55211-1;P55211-2;P55211-4	P55211	CASP9_HUMAN	reviewed	Caspase-9 (CASP-9) (EC 3.4.22.62) (Apoptotic protease Mch-6) (Apoptotic protease-activating factor 3) (APAF-3) (ICE-like apoptotic protease 6) (ICE-LAP6) [Cleaved into: Caspase-9 subunit p35; Caspase-9 subunit p10]	CASP9 MCH6	Homo sapiens (Human)	416
ENSG00000116138	ENSG00000116138 -> Q9Y2G8-1;Q9Y2G8-2	Q9Y2G8	DJC16_HUMAN	reviewed	DnaJ homolog subfamily C member 16	DNAJC16 KIAA0962	Homo sapiens (Human)	782
ENSG00000116771		Q9BSE5	SPEB_HUMAN	reviewed	Agmatinase, mitochondrial (EC 3.5.3.11) (Agmatine ureohydrolase) (AUH)	AGMAT	Homo sapiens (Human)	352
ENSG00000197312	ENSG00000197312 -> Q5TDH0-1	Q5TDH0	DDI2_HUMAN	reviewed	Protein DDI1 homolog 2 (EC 3.4.23.-)	DDI2	Homo sapiens (Human)	399
ENSG00000116786		Q8IWE5	PKHM2_HUMAN	reviewed	Pleckstrin homology domain-containing family M member 2 (PH domain-containing family M member 2) (Salmonella-induced filaments A and kinesin-interacting protein) (SifA and kinesin-interacting protein)	PLEKHM2 KIAA0842 SKIP	Homo sapiens (Human)	1019
ENSG00000162458	ENSG00000162458 -> Q8WUP2-1;Q8WUP2-2;Q8WUP2-3	Q8WUP2	FBLI1_HUMAN	reviewed	Filamin-binding LIM protein 1 (FBLP-1) (Migfilin) (Mitogen-inducible 2-interacting protein) (MIG2-interacting protein)	FBLIM1 FBLP1	Homo sapiens (Human)	373
ENSG00000233954		A0A096LP55	QCR6L_HUMAN	reviewed	Cytochrome b-c1 complex subunit 6-like, mitochondrial	UQCRHL	Homo sapiens (Human)	91
ENSG00000065526		Q96T58	MINT_HUMAN	reviewed	Msx2-interacting protein (SMART/HDAC1-associated repressor protein) (SPEN homolog)	SPEN KIAA0929 MINT SHARP	Homo sapiens (Human)	3664
ENSG00000116809	ENSG00000116809 -> Q13105-1;Q13105-2;Q13105-3	Q13105	ZBT17_HUMAN	reviewed	Zinc finger and BTB domain-containing protein 17 (Myc-interacting zinc finger protein 1) (Miz-1) (Zinc finger protein 151) (Zinc finger protein 60)	ZBTB17 MIZ1 ZNF151 ZNF60	Homo sapiens (Human)	803
ENSG00000142627	ENSG00000142627 -> P29317-1	P29317	EPHA2_HUMAN	reviewed	Ephrin type-A receptor 2 (EC 2.7.10.1) (Epithelial cell kinase) (Tyrosine-protein kinase receptor ECK)	EPHA2 ECK	Homo sapiens (Human)	976
ENSG00000142632	ENSG00000142632 -> Q8IW93-1	Q8IW93	ARHGJ_HUMAN	reviewed	Rho guanine nucleotide exchange factor 19 (Ephexin-2)	ARHGEF19	Homo sapiens (Human)	802
ENSG00000132881		Q9BU20	CPLN2_HUMAN	reviewed	Ciliogenesis and planar polarity effector 2 (REM2- and Rab-like small GTPase 1)	CPLANE2 C1orf89 RSG1	Homo sapiens (Human)	258
ENSG00000037637		Q6P3S6	FBX42_HUMAN	reviewed	F-box only protein 42 (Just one F-box and Kelch domain-containing protein)	FBXO42 FBX42 JFK KIAA1332	Homo sapiens (Human)	717
ENSG00000055070	ENSG00000055070 -> Q7Z422-1;Q7Z422-2;Q7Z422-4;Q7Z422-5	Q7Z422	SZRD1_HUMAN	reviewed	SUZ domain-containing protein 1 (Putative MAPK-activating protein PM18/PM20/PM22)	SZRD1 C1orf144	Homo sapiens (Human)	152
ENSG00000157191	ENSG00000157191 -> Q9NVZ3-1;Q9NVZ3-2;Q9NVZ3-4	Q9NVZ3	NECP2_HUMAN	reviewed	Adaptin ear-binding coat-associated protein 2 (NECAP endocytosis-associated protein 2) (NECAP-2)	NECAP2	Homo sapiens (Human)	263
ENSG00000219481	ENSG00000219481 -> Q3BBV0-2	Q3BBV0	NBPF1_HUMAN	reviewed	Neuroblastoma breakpoint family member 1	NBPF1 KIAA1693	Homo sapiens (Human)	1214
ENSG00000117122	ENSG00000117122 -> P55001-1;P55001-2	P55001	MFAP2_HUMAN	reviewed	Microfibrillar-associated protein 2 (MFAP-2) (Microfibril-associated glycoprotein 1) (MAGP) (MAGP-1)	MFAP2 MAGP1	Homo sapiens (Human)	183
ENSG00000159363	ENSG00000159363 -> Q9NQ11-1;Q9NQ11-2;Q9NQ11-3	Q9NQ11	AT132_HUMAN	reviewed	Cation-transporting ATPase 13A2 (EC 7.2.2.-)	ATP13A2 PARK9	Homo sapiens (Human)	1180
ENSG00000117118		P21912	SDHB_HUMAN	reviewed	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (EC 1.3.5.1) (Iron-sulfur subunit of complex II) (Ip)	SDHB SDH SDH1	Homo sapiens (Human)	280
ENSG00000117115	ENSG00000117115 -> Q9Y2J8-1;Q9Y2J8-2	Q9Y2J8	PADI2_HUMAN	reviewed	Protein-arginine deiminase type-2 (EC 3.5.3.15) (PAD-H19) (Peptidylarginine deiminase II) (Protein-arginine deiminase type II)	PADI2 KIAA0994 PAD2 PDI2	Homo sapiens (Human)	665
ENSG00000142623		Q9ULC6	PADI1_HUMAN	reviewed	Protein-arginine deiminase type-1 (EC 3.5.3.15) (Peptidylarginine deiminase I) (Protein-arginine deiminase type I)	PADI1 PAD1 PDI1	Homo sapiens (Human)	663
ENSG00000142619		Q9ULW8	PADI3_HUMAN	reviewed	Protein-arginine deiminase type-3 (EC 3.5.3.15) (Peptidylarginine deiminase III) (Protein-arginine deiminase type III)	PADI3 PAD3 PDI3	Homo sapiens (Human)	664
ENSG00000179051		Q9P258	RCC2_HUMAN	reviewed	Protein RCC2 (RCC1-like protein TD-60) (Telophase disk protein of 60 kDa)	RCC2 KIAA1470 TD60	Homo sapiens (Human)	522
ENSG00000159423	ENSG00000159423 -> P30038-1;P30038-2;P30038-3	P30038	AL4A1_HUMAN	reviewed	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial (P5C dehydrogenase) (EC 1.2.1.88) (Aldehyde dehydrogenase family 4 member A1) (L-glutamate gamma-semialdehyde dehydrogenase)	ALDH4A1 ALDH4 P5CDH	Homo sapiens (Human)	563
ENSG00000169991		Q5TF58	IFFO2_HUMAN	reviewed	Intermediate filament family orphan 2	IFFO2	Homo sapiens (Human)	517
ENSG00000127481	ENSG00000127481 -> Q5T4S7-1;Q5T4S7-6	Q5T4S7	UBR4_HUMAN	reviewed	E3 ubiquitin-protein ligase UBR4 (EC 2.3.2.27) (600 kDa retinoblastoma protein-associated factor) (N-recognin-4) (RING-type E3 ubiquitin transferase UBR4) (Retinoblastoma-associated factor of 600 kDa) (RBAF600) (p600) (Zinc finger UBR1-type protein 1)	UBR4 KIAA0462 KIAA1307 RBAF600 ZUBR1	Homo sapiens (Human)	5183
ENSG00000127463	ENSG00000127463 -> Q8N766-1;Q8N766-2;Q8N766-4	Q8N766	EMC1_HUMAN	reviewed	ER membrane protein complex subunit 1	EMC1 KIAA0090 PSEC0263	Homo sapiens (Human)	993
ENSG00000053372		Q9UKD2	MRT4_HUMAN	reviewed	mRNA turnover protein 4 homolog (Ribosome assembly factor MRTO4)	MRTO4 C1orf33 MRT4	Homo sapiens (Human)	239
ENSG00000162482		O95154	ARK73_HUMAN	reviewed	Aflatoxin B1 aldehyde reductase member 3 (EC 1.-.-.-) (AFB1 aldehyde reductase 2) (AFB1-AR 2)	AKR7A3 AFAR2	Homo sapiens (Human)	331
ENSG00000053371		O43488	ARK72_HUMAN	reviewed	Aflatoxin B1 aldehyde reductase member 2 (EC 1.1.1.n11) (AFB1 aldehyde reductase 1) (AFB1-AR 1) (Aldoketoreductase 7) (Succinic semialdehyde reductase) (SSA reductase)	AKR7A2 AFAR AFAR1 AKR7	Homo sapiens (Human)	359
ENSG00000040487	ENSG00000040487 -> Q6ZP29-1;Q6ZP29-3	Q6ZP29	LAAT1_HUMAN	reviewed	Lysosomal amino acid transporter 1 homolog (PQ-loop repeat-containing protein 2) (Solute carrier family 66 member 1)	SLC66A1 PQLC2	Homo sapiens (Human)	291
ENSG00000077549	ENSG00000077549 -> P47756-1;P47756-2	P47756	CAPZB_HUMAN	reviewed	F-actin-capping protein subunit beta (CapZ beta)	CAPZB	Homo sapiens (Human)	277
ENSG00000173436	ENSG00000173436 -> Q5TGZ0-1	Q5TGZ0	MIC10_HUMAN	reviewed	MICOS complex subunit MIC10 (Mitochondrial inner membrane organizing system protein 1)	MICOS10 C1orf151 MIC10 MINOS1	Homo sapiens (Human)	78
ENSG00000158747	ENSG00000158747 -> P41271-1;P41271-2	P41271	NBL1_HUMAN	reviewed	Neuroblastoma suppressor of tumorigenicity 1 (DAN domain family member 1) (Protein N03) (Zinc finger protein DAN)	NBL1 DAN DAND1	Homo sapiens (Human)	181
ENSG00000162542	ENSG00000162542 -> Q5TGY1-1	Q5TGY1	TMCO4_HUMAN	reviewed	Transmembrane and coiled-coil domain-containing protein 4	TMCO4	Homo sapiens (Human)	634
ENSG00000169914		Q5T2D3	OTUD3_HUMAN	reviewed	OTU domain-containing protein 3 (EC 3.4.19.12)	OTUD3 KIAA0459	Homo sapiens (Human)	398
ENSG00000162545		Q7Z7J9	CK2N1_HUMAN	reviewed	Calcium/calmodulin-dependent protein kinase II inhibitor 1 (CaMKII inhibitory protein alpha) (CaMKIIN-alpha)	CAMK2N1	Homo sapiens (Human)	78
ENSG00000090432		Q969V5	MUL1_HUMAN	reviewed	Mitochondrial ubiquitin ligase activator of NFKB 1 (EC 2.3.2.27) (E3 SUMO-protein ligase MUL1) (E3 ubiquitin-protein ligase MUL1) (Growth inhibition and death E3 ligase) (Mitochondrial-anchored protein ligase) (MAPL) (Putative NF-kappa-B-activating protein 266) (RING finger protein 218) (RING-type E3 ubiquitin transferase NFKB 1)	MUL1 C1orf166 GIDE MAPL MULAN RNF218	Homo sapiens (Human)	352
ENSG00000158825		P32320	CDD_HUMAN	reviewed	Cytidine deaminase (EC 3.5.4.5) (Cytidine aminohydrolase)	CDA CDD	Homo sapiens (Human)	146
ENSG00000244038	ENSG00000244038 -> P39656-1	P39656	OST48_HUMAN	reviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit (DDOST 48 kDa subunit) (Oligosaccharyl transferase 48 kDa subunit)	DDOST KIAA0115 OST48 OK/SW-cl.45	Homo sapiens (Human)	456
ENSG00000117245	ENSG00000117245 -> Q9P2E2-1;Q9P2E2-3	Q9P2E2	KIF17_HUMAN	reviewed	Kinesin-like protein KIF17 (KIF3-related motor protein)	KIF17 KIAA1405 KIF3X	Homo sapiens (Human)	1029
ENSG00000189410	ENSG00000189410 -> Q6ZV89-1;Q6ZV89-2	Q6ZV89	SH2D5_HUMAN	reviewed	SH2 domain-containing protein 5	SH2D5	Homo sapiens (Human)	423
ENSG00000127483	ENSG00000127483 -> Q5SSJ5-1;Q5SSJ5-3;Q5SSJ5-5	Q5SSJ5	HP1B3_HUMAN	reviewed	Heterochromatin protein 1-binding protein 3 (Protein HP1-BP74)	HP1BP3	Homo sapiens (Human)	553
ENSG00000075151	ENSG00000075151 -> O43432-1;O43432-2;O43432-3;O43432-4	O43432	IF4G3_HUMAN	reviewed	Eukaryotic translation initiation factor 4 gamma 3 (eIF-4-gamma 3) (eIF-4G 3) (eIF4G 3) (eIF-4-gamma II) (eIF4GII)	EIF4G3	Homo sapiens (Human)	1585
ENSG00000117298	ENSG00000117298 -> P42892-1;P42892-2;P42892-3;P42892-4	P42892	ECE1_HUMAN	reviewed	Endothelin-converting enzyme 1 (ECE-1) (EC 3.4.24.71)	ECE1	Homo sapiens (Human)	770
ENSG00000142794	ENSG00000142794 -> Q9H094-1;Q9H094-2;Q9H094-3;Q9H094-5	Q9H094	NBPF3_HUMAN	reviewed	Neuroblastoma breakpoint family member 3 (Protein AE2) (Protein SHIIIa4)	NBPF3 L7	Homo sapiens (Human)	633
ENSG00000162551	ENSG00000162551 -> P05186-1;P05186-2;P05186-3	P05186	PPBT_HUMAN	reviewed	Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase liver/bone/kidney isozyme)	ALPL	Homo sapiens (Human)	524
ENSG00000076864	ENSG00000076864 -> P47736-1;P47736-2;P47736-4	P47736	RPGP1_HUMAN	reviewed	Rap1 GTPase-activating protein 1 (Rap1GAP) (Rap1GAP1)	RAP1GAP KIAA0474 RAP1GA1	Homo sapiens (Human)	663
ENSG00000090686	ENSG00000090686 -> Q86UV5-1;Q86UV5-2;Q86UV5-7;Q86UV5-8	Q86UV5	UBP48_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 48 (EC 3.4.19.12) (Deubiquitinating enzyme 48) (Ubiquitin thioesterase 48) (Ubiquitin-specific peptidase 48) (Ubiquitin-specific protease 48) (Ubiquitin-specific-processing protease 48)	USP48 USP31	Homo sapiens (Human)	1035
ENSG00000142798		P98160	PGBM_HUMAN	reviewed	Basement membrane-specific heparan sulfate proteoglycan core protein (HSPG) (Perlecan) (PLC) [Cleaved into: Endorepellin; LG3 peptide]	HSPG2	Homo sapiens (Human)	4391
ENSG00000070831	ENSG00000070831 -> P60953-1;P60953-2	P60953	CDC42_HUMAN	reviewed	Cell division control protein 42 homolog (EC 3.6.5.2) (G25K GTP-binding protein)	CDC42	Homo sapiens (Human)	191
ENSG00000184677	ENSG00000184677 -> Q9NUA8-1	Q9NUA8	ZBT40_HUMAN	reviewed	Zinc finger and BTB domain-containing protein 40	ZBTB40 KIAA0478	Homo sapiens (Human)	1239
ENSG00000133216	ENSG00000133216 -> P29323-1;P29323-2;P29323-3	P29323	EPHB2_HUMAN	reviewed	Ephrin type-B receptor 2 (EC 2.7.10.1) (Developmentally-regulated Eph-related tyrosine kinase) (ELK-related tyrosine kinase) (EPH tyrosine kinase 3) (EPH-like kinase 5) (EK5) (hEK5) (Renal carcinoma antigen NY-REN-47) (Tyrosine-protein kinase TYRO5) (Tyrosine-protein kinase receptor EPH-3) [Cleaved into: EphB2/CTF1; EphB2/CTF2]	EPHB2 DRT EPHT3 EPTH3 ERK HEK5 TYRO5	Homo sapiens (Human)	1055
ENSG00000004487	ENSG00000004487 -> O60341-1;O60341-2	O60341	KDM1A_HUMAN	reviewed	Lysine-specific histone demethylase 1A (EC 1.-.-.-) (BRAF35-HDAC complex protein BHC110) (Flavin-containing amine oxidase domain-containing protein 2)	KDM1A AOF2 KDM1 KIAA0601 LSD1	Homo sapiens (Human)	852
ENSG00000169641	ENSG00000169641 -> Q86V48-1;Q86V48-2	Q86V48	LUZP1_HUMAN	reviewed	Leucine zipper protein 1	LUZP1	Homo sapiens (Human)	1076
ENSG00000179546		P28221	5HT1D_HUMAN	reviewed	5-hydroxytryptamine receptor 1D (5-HT-1D) (5-HT1D) (Serotonin 1D alpha receptor) (5-HT-1D-alpha) (Serotonin receptor 1D)	HTR1D HTR1DA HTRL	Homo sapiens (Human)	377
ENSG00000125944	ENSG00000125944 -> O43390-1;O43390-2;O43390-3;O43390-4	O43390	HNRPR_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein R (hnRNP R)	HNRNPR HNRPR	Homo sapiens (Human)	633
ENSG00000125945		Q9C0F3	ZN436_HUMAN	reviewed	Zinc finger protein 436	ZNF436 KIAA1710	Homo sapiens (Human)	470
ENSG00000204219	ENSG00000204219 -> O75764-1;O75764-2	O75764	TCEA3_HUMAN	reviewed	Transcription elongation factor A protein 3 (Transcription elongation factor S-II protein 3) (Transcription elongation factor TFIIS.h)	TCEA3 TFIISH	Homo sapiens (Human)	348
ENSG00000088280	ENSG00000088280 -> Q8TDY4-1;Q8TDY4-2;Q8TDY4-3	Q8TDY4	ASAP3_HUMAN	reviewed	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 3 (Development and differentiation-enhancing factor-like 1) (Protein up-regulated in liver cancer 1)	ASAP3 DDEFL1 UPLC1	Homo sapiens (Human)	903
ENSG00000007968		Q14209	E2F2_HUMAN	reviewed	Transcription factor E2F2 (E2F-2)	E2F2	Homo sapiens (Human)	437
ENSG00000117318		Q02535	ID3_HUMAN	reviewed	DNA-binding protein inhibitor ID-3 (Class B basic helix-loop-helix protein 25) (bHLHb25) (Helix-loop-helix protein HEIR-1) (ID-like protein inhibitor HLH 1R21) (Inhibitor of DNA binding 3) (Inhibitor of differentiation 3)	ID3 1R21 BHLHB25 HEIR1	Homo sapiens (Human)	119
ENSG00000142676	ENSG00000142676 -> P62913-1;P62913-2	P62913	RL11_HUMAN	reviewed	60S ribosomal protein L11 (CLL-associated antigen KW-12) (Large ribosomal subunit protein uL5)	RPL11	Homo sapiens (Human)	178
ENSG00000011007		Q14241	ELOA1_HUMAN	reviewed	Elongin-A (EloA) (Elongin 110 kDa subunit) (RNA polymerase II transcription factor SIII subunit A1) (SIII p110) (Transcription elongation factor B polypeptide 3)	ELOA TCEB3 MSTP059	Homo sapiens (Human)	798
ENSG00000057757	ENSG00000057757 -> Q9GZP4-1	Q9GZP4	PITH1_HUMAN	reviewed	PITH domain-containing protein 1	PITHD1 C1orf128 AD039 HT014 PP603	Homo sapiens (Human)	211
ENSG00000011009		O95372	LYPA2_HUMAN	reviewed	Acyl-protein thioesterase 2 (APT-2) (EC 3.1.2.-) (Lysophospholipase II) (LPL-II) (LysoPLA II)	LYPLA2 APT2	Homo sapiens (Human)	231
ENSG00000117308	ENSG00000117308 -> Q14376-1	Q14376	GALE_HUMAN	reviewed	UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-N-acetylgalactosamine 4-epimerase) (UDP-GalNAc 4-epimerase) (UDP-N-acetylglucosamine 4-epimerase) (UDP-GlcNAc 4-epimerase) (EC 5.1.3.7) (UDP-galactose 4-epimerase)	GALE	Homo sapiens (Human)	348
ENSG00000117305	ENSG00000117305 -> P35914-1;P35914-2	P35914	HMGCL_HUMAN	reviewed	Hydroxymethylglutaryl-CoA lyase, mitochondrial (HL) (HMG-CoA lyase) (EC 4.1.3.4) (3-hydroxy-3-methylglutarate-CoA lyase)	HMGCL	Homo sapiens (Human)	325
ENSG00000179163		P04066	FUCO_HUMAN	reviewed	Tissue alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucosidase I) (Alpha-L-fucoside fucohydrolase 1) (Alpha-L-fucosidase 1)	FUCA1 Nbla10230	Homo sapiens (Human)	466
ENSG00000189266	ENSG00000189266 -> Q9NPJ4-1	Q9NPJ4	PNRC2_HUMAN	reviewed	Proline-rich nuclear receptor coactivator 2	PNRC2 HSPC208	Homo sapiens (Human)	139
ENSG00000188529	ENSG00000188529 -> O75494-1;O75494-2;O75494-3;O75494-4;O75494-5;O75494-6	O75494	SRS10_HUMAN	reviewed	Serine/arginine-rich splicing factor 10 (40 kDa SR-repressor protein) (SRrp40) (FUS-interacting serine-arginine-rich protein 1) (Splicing factor SRp38) (Splicing factor, arginine/serine-rich 13A) (TLS-associated protein with Ser-Arg repeats) (TASR) (TLS-associated protein with SR repeats) (TLS-associated serine-arginine protein) (TLS-associated SR protein)	SRSF10 FUSIP1 FUSIP2 SFRS13A TASR	Homo sapiens (Human)	262
ENSG00000142677		Q8N6P7	I22R1_HUMAN	reviewed	Interleukin-22 receptor subunit alpha-1 (IL-22 receptor subunit alpha-1) (IL-22R-alpha-1) (IL-22RA1) (Cytokine receptor class-II member 9) (Cytokine receptor family 2 member 9) (CRF2-9) (ZcytoR11)	IL22RA1 IL22R	Homo sapiens (Human)	574
ENSG00000185436	ENSG00000185436 -> Q8IU57-1;Q8IU57-2;Q8IU57-3;Q8IU57-4	Q8IU57	INLR1_HUMAN	reviewed	Interferon lambda receptor 1 (IFN-lambda receptor 1) (IFN-lambda-R1) (Cytokine receptor class-II member 12) (Cytokine receptor family 2 member 12) (CRF2-12) (Interleukin-28 receptor subunit alpha) (IL-28 receptor subunit alpha) (IL-28R-alpha) (IL-28RA) (Likely interleukin or cytokine receptor 2) (LICR2)	IFNLR1 IL28RA LICR2	Homo sapiens (Human)	520
ENSG00000158055	ENSG00000158055 -> Q8TE85-1;Q8TE85-2;Q8TE85-3;Q8TE85-5	Q8TE85	GRHL3_HUMAN	reviewed	Grainyhead-like protein 3 homolog (Sister of mammalian grainyhead) (Transcription factor CP2-like 4)	GRHL3 SOM TFCP2L4	Homo sapiens (Human)	626
ENSG00000001460	ENSG00000001460 -> Q5TH74-1;Q5TH74-3	Q5TH74	STPG1_HUMAN	reviewed	O(6)-methylguanine-induced apoptosis 2 (MAPO2) (Sperm-tail PG-rich repeat-containing protein 1)	STPG1 C1orf201	Homo sapiens (Human)	334
ENSG00000001461	ENSG00000001461 -> Q6P499-1;Q6P499-2;Q6P499-3	Q6P499	NPAL3_HUMAN	reviewed	NIPA-like protein 3	NIPAL3 NPAL3	Homo sapiens (Human)	406
ENSG00000117602	ENSG00000117602 -> Q9UKA8-1;Q9UKA8-2;Q9UKA8-3;Q9UKA8-4;Q9UKA8-5;Q9UKA8-6	Q9UKA8	RCAN3_HUMAN	reviewed	Calcipressin-3 (Down syndrome candidate region 1-like protein 2) (Myocyte-enriched calcineurin-interacting protein 3) (MCIP3) (Regulator of calcineurin 3)	RCAN3 DSCR1L2	Homo sapiens (Human)	241
ENSG00000133226	ENSG00000133226 -> Q8IYB3-1	Q8IYB3	SRRM1_HUMAN	reviewed	Serine/arginine repetitive matrix protein 1 (SR-related nuclear matrix protein of 160 kDa) (SRm160) (Ser/Arg-related nuclear matrix protein)	SRRM1 SRM160	Homo sapiens (Human)	904
ENSG00000169504		Q9Y696	CLIC4_HUMAN	reviewed	Chloride intracellular channel protein 4 (Intracellular chloride ion channel protein p64H1)	CLIC4	Homo sapiens (Human)	253
ENSG00000117614	ENSG00000117614 -> O95926-1;O95926-2	O95926	SYF2_HUMAN	reviewed	Pre-mRNA-splicing factor SYF2 (CCNDBP1-interactor) (p29)	SYF2 CBPIN GCIPIP	Homo sapiens (Human)	243
ENSG00000117616	ENSG00000117616 -> Q9BUV0-1;Q9BUV0-2;Q9BUV0-3	Q9BUV0	RSRP1_HUMAN	reviewed	Arginine/serine-rich protein 1	RSRP1 C1orf63 HT033 NPD014	Homo sapiens (Human)	290
ENSG00000183726		O95807	TM50A_HUMAN	reviewed	Transmembrane protein 50A (Small membrane protein 1)	TMEM50A SMP1 UNQ386/PRO718	Homo sapiens (Human)	157
ENSG00000204178	ENSG00000204178 -> Q8N5G2-1;Q8N5G2-3	Q8N5G2	MACOI_HUMAN	reviewed	Macoilin (Macoilin-1) (Transmembrane protein 57)	MACO1 TMEM57	Homo sapiens (Human)	664
ENSG00000157978		Q5SW96	ARH_HUMAN	reviewed	Low density lipoprotein receptor adapter protein 1 (Autosomal recessive hypercholesterolemia protein)	LDLRAP1 ARH	Homo sapiens (Human)	308
ENSG00000162430	ENSG00000162430 -> Q9NZV5-1;Q9NZV5-2	Q9NZV5	SELN_HUMAN	reviewed	Selenoprotein N (SelN)	SELENON SELN SEPN1	Homo sapiens (Human)	590
ENSG00000117640	ENSG00000117640 -> Q9H019-1;Q9H019-2;Q9H019-3	Q9H019	MFR1L_HUMAN	reviewed	Mitochondrial fission regulator 1-like	MTFR1L FAM54B HYST1888 MSTP116	Homo sapiens (Human)	292
ENSG00000127423	ENSG00000127423 -> Q9H7T9-1;Q9H7T9-2	Q9H7T9	AUNIP_HUMAN	reviewed	Aurora kinase A and ninein-interacting protein (AIBp)	AUNIP C1orf135	Homo sapiens (Human)	357
ENSG00000182749		Q86WK9	PAQR7_HUMAN	reviewed	Membrane progestin receptor alpha (mPR alpha) (Membrane progesterone P4 receptor alpha) (Membrane progesterone receptor alpha) (Progesterone and adipoQ receptor family member 7) (Progestin and adipoQ receptor family member 7) (Progestin and adipoQ receptor family member VII)	PAQR7 MRPA	Homo sapiens (Human)	346
